"item","family","group","qnty.sold","revenue","date"
"Stud Meal Combo","Main course","FOOD","276",8280,"2015-08-30"
"Buffet Meal","Main course","FOOD","135",2948,"2015-08-30"
"Student Breakfast","Breakfast","FOOD","83",2490,"2015-08-30"
"Stud Wok Meal","Main course","FOOD","72",2160,"2015-08-30"
"Open Miscellaneous","Open Miscellaneous","MISCELLANEOUS","2",2013,"2015-08-30"
"Stud Grill Meal","Main course","FOOD","54",1620,"2015-08-30"
"Buffet Lunch","Main course","FOOD","16",1440,"2015-08-30"
"Chicken Steak","Grill","FOOD","59",1416,"2015-08-30"
"Slice of the Day","Pizza","FOOD","274",1355,"2015-08-30"
"Open Food","Open Food","FOOD","22",1061.5,"2015-08-30"
"MEAT PLATTER","Main course","FOOD","33",990,"2015-08-30"
"Tenderloin Steak","Burgers","FOOD","32",960,"2015-08-30"
"Chicken Caesar","Salads","FOOD","38",950,"2015-08-30"
"Guest Meal Combo","Main course","FOOD","28",875,"2015-08-30"
"Classic Angus Burger","Burgers","FOOD","29",870,"2015-08-30"
"Margherita(V)","Pizza","FOOD","34",825,"2015-08-30"
"SERCO LUNCH","SERCO LUNCH","FOOD","75",750,"2015-08-30"
"BBQ Glazed Chicken","Sandwiches","FOOD","33",693,"2015-08-30"
"BLACK ANGUS CLUB 6 OZ","Burgers","FOOD","20",640,"2015-08-30"
"Homemade Beef Burger","Burgers","FOOD","30",600,"2015-08-30"
"Chicken Tikka","Sandwiches","FOOD","24",576,"2015-08-30"
"FYO SHAWARMA","Main course","FOOD","36",540,"2015-08-30"
"Guest Wok Meal","Main course","FOOD","15",525,"2015-08-30"
"Buffet Fruit Salad","Salads","FOOD","102",510,"2015-08-30"
"Masafi Water500ml","Water","BEVERAGE","495",492,"2015-08-30"
"SERCO DINNER","SERCO DINNER","FOOD","49",490,"2015-08-30"
"Falafel Tomato & Hummus(V)","Sandwiches","FOOD","27",486,"2015-08-30"
"Massaman Chicken","Main course","FOOD","20",480,"2015-08-30"
"Fresh Juice","Fresh Juices","BEVERAGE","121",476,"2015-08-30"
"Smoked Salmon","Sandwiches","FOOD","19",475,"2015-08-30"
"CHICKEN CEASAR SALAD","Salads","FOOD","14",448,"2015-08-30"
"SMOKED TURKEY S/W","Sandwiches","FOOD","13",442,"2015-08-30"
"Salmon Salad","Salads","FOOD","16",400,"2015-08-30"
"12 OZ CAFFE LATTE","Starbucks","FOOD","33",396,"2015-08-30"
"SERCO BREAKFAST","SERCO BREAKFAST","FOOD","38",380,"2015-08-30"
"WALK IN LUNCH","WALK IN LUNCH","FOOD","38",380,"2015-08-30"
"Side Salad","Salads","FOOD","95",372,"2015-08-30"
"NIVEA GENTLE FACE WASH 150ML","CS Facial Care","NON FOOD","12",342,"2015-08-30"
"Five a Day","Fresh Juices","BEVERAGE","14",336,"2015-08-30"
"12 OZ CAPPUCHINO","Starbucks","FOOD","27",324,"2015-08-30"
"Grilled Chicken Burger","Burgers","FOOD","13",312,"2015-08-30"
"California Rolls(6Pcs)","Sushi","FOOD","14",308,"2015-08-30"
"Fresh Fruit Pcs","Extras","FOOD","101",303,"2015-08-30"
"CHICKEN STACK","Burgers","FOOD","10",300,"2015-08-30"
"Open Beverage","Open Beverage","BEVERAGE","15",300,"2015-08-30"
"Stud Veg Meal","Veggie","FOOD","10",300,"2015-08-30"
"ALPEN MUESLI ORIGINAL 375GM","CS Cereal","FOOD","18",297,"2015-08-30"
"Take Away Box","Take Away Boxes","NON FOOD","99",297,"2015-08-30"
"16 OZ CAFFE LATTE","Starbucks","FOOD","21",294,"2015-08-30"
"12 OZ CAFFE AMERICANO","Starbucks","FOOD","29",290,"2015-08-30"
"STIR FRY CHICKEN","Main course","FOOD","10",290,"2015-08-30"
"PEACH & BASIL SMOOTHIE","Smoothies","BEVERAGE","16",288,"2015-08-30"
"Yogurt Muesli Honey","Yoghurt Pots","FOOD","18",288,"2015-08-30"
"Cereal Portion","Breakfast","FOOD","41",287,"2015-08-30"
"BRIE & TOMATO S/W","Sandwiches","FOOD","8",272,"2015-08-30"
"Beef sausage","Breakfast","FOOD","54",270,"2015-08-30"
"SWEET CHILLI SALMON SALAD","Sandwiches","FOOD","7",266,"2015-08-30"
"Hash Browns","Breakfast","FOOD","65",260,"2015-08-30"
"GILLETTE BLADE MACH 3 TURBO 4PCS","CS Mens Care","NON FOOD","5",247.5,"2015-08-30"
"16 OZ ICED CAFE AMERICANO","Starbucks","FOOD","20",240,"2015-08-30"
"CHICKEN ROCQUET CHEESE S/W","Sandwiches","FOOD","8",240,"2015-08-30"
"REUBENS S/W","Sandwiches","FOOD","8",240,"2015-08-30"
"16 OZ ICED CAFFE LATTE","Starbucks","FOOD","17",238,"2015-08-30"
"Yasai Itame","Main course","FOOD","9",234,"2015-08-30"
"Pesto Roasted Chicken","Sandwiches","FOOD","10",230,"2015-08-30"
"4 OZ BURGER COMBO","Burgers","FOOD","6",228,"2015-08-30"
"FRESH GREEN SALAD","Salads","FOOD","14",224,"2015-08-30"
"Grilled Halloumi(V)","Sandwiches","FOOD","11",220,"2015-08-30"
"Tandoori Chicken","Pizza","FOOD","6",216,"2015-08-30"
"AL AIN WATER 500ml","CS Water","BEVERAGE","215",215,"2015-08-30"
"GALLON WATER COUPON","CS Water","BEVERAGE","30",210,"2015-08-30"
"GRILLED CHICKEN & BACON S/W","Sandwiches","FOOD","6",210,"2015-08-30"
"Filter Coffee","Tea","FOOD","43",205,"2015-08-30"
"CEASAR CHICKEN WRAP","Wraps","FOOD","6",204,"2015-08-30"
"CROISSANT MINI","Dessert","FOOD","68",204,"2015-08-30"
"Fruit Salad","Yoghurt Pots","FOOD","17",204,"2015-08-30"
"16 OZ FRAPPUCINO CARAMEL","Starbucks","FOOD","10",200,"2015-08-30"
"ALWAYS DIAMOND ULTRA THIN 14 PCS","CS Sanitary Care","NON FOOD","11",198,"2015-08-30"
"DOVE BEAUTY CREAM 150ML","CS Body Care","NON FOOD","18",198,"2015-08-30"
"SELPAK FACIAL TISSUE 100 SHEET","CS Tissue & Toilet Rolls","NON FOOD","33",198,"2015-08-30"
"NIVEA WIPES GENTLE CLEANSING 25P","CS Tissue & Toilet Rolls","NON FOOD","7",196,"2015-08-30"
"Buffalo Chicken","Grill","FOOD","12",192,"2015-08-30"
"Extra Topping","Pizza","FOOD","38",190,"2015-08-30"
"LACNOR ORANGE 180ML","Fresh Juices","BEVERAGE","62",188,"2015-08-30"
"AL AIN WATER 1.5L","CS Water","BEVERAGE","122",183,"2015-08-30"
"7 OZ DOUBLE SHOT ICED SHAKEN","Starbucks","FOOD","13",182,"2015-08-30"
"Salmon Temaki (3 Pcs)","Sushi","FOOD","7",182,"2015-08-30"
"16 OZ CAFFE AMERICANO","Starbucks","FOOD","15",180,"2015-08-30"
"BRIE & BACON S/W","Sandwiches","FOOD","5",180,"2015-08-30"
"Large Salad","Salads","FOOD","10",180,"2015-08-30"
"MOROCCAN LAMB BURGER","Burgers","FOOD","5",180,"2015-08-30"
"Small Salad","Salads","FOOD","16",180,"2015-08-30"
"Yogurt Blueberry","Yoghurt Pots","FOOD","10",180,"2015-08-30"
"Yogurt Mango","Yoghurt Pots","FOOD","18",180,"2015-08-30"
"16 OZ CAPPUCHINO","Starbucks","FOOD","12",168,"2015-08-30"
"Filter Tea","Tea","FOOD","33",165,"2015-08-30"
"LIFEBUOY HW MILD CARE 200ML","CS Soap & Handwash","NON FOOD","15",165,"2015-08-30"
"DOVE SHOWER POMEGRANTE & LEMON 2","CS Bath & Shower","NON FOOD","9",162,"2015-08-30"
"Frid Rice W Chicken","Fried Rice","FOOD","5",160,"2015-08-30"
"Portion Protein","Main course","FOOD","16",160,"2015-08-30"
"TUNA & MAYO WRAP","Sandwiches","FOOD","5",160,"2015-08-30"
"TPasteCloseupMENTHOL120ml","CS Oral Care","NON FOOD","22",159.5,"2015-08-30"
"Tuna Sweetcorn","Pre Packed Sandwiches","FOOD","11",158,"2015-08-30"
"French Toast","Breakfast","FOOD","39",156,"2015-08-30"
"12 OZ VANILLA LATTE","Starbucks","FOOD","9",153,"2015-08-30"
"DR OETKER VEGETABLE PIZZA","CS Frozen Food","FOOD","6",153,"2015-08-30"
"LACNOR APPLE 180ML","Fresh Juices","BEVERAGE","38",152,"2015-08-30"
"ALPROSoyaMilkUnswtnd1L","CS Packet Juice","BEVERAGE","9",150.75,"2015-08-30"
"Dessert","Dessert","FOOD","37",148,"2015-08-30"
"Pancakes","Breakfast","FOOD","49",147,"2015-08-30"
"COCA COLA CAN","Softdrinks","BEVERAGE","36",144,"2015-08-30"
"Go Large","Pizza","FOOD","19",144,"2015-08-30"
"The Big Apple","Milk Shake","BEVERAGE","6",144,"2015-08-30"
"DvAntiDndrf400m","CS Shampoo & Conditioner","NON FOOD","7",143.5,"2015-08-30"
"GILLETTE FUSION RAZOR 1 UP","CS Mens Care","NON FOOD","4",143,"2015-08-30"
"AMERICAN 4 OZ","Burgers","FOOD","5",140,"2015-08-30"
"Guest Grill Meal","Main course","FOOD","4",140,"2015-08-30"
"Mixed Green Salad(V)","Salads","FOOD","7",140,"2015-08-30"
"NIVEA WIPES REFRESHING CLEANSING","CS Tissue & Toilet Rolls","NON FOOD","5",140,"2015-08-30"
"Pure VitaminC","Fresh Juices","BEVERAGE","5",140,"2015-08-30"
"NESCAFE RED MUG COFFEE 200GM","CS Coffee","FOOD","4",138,"2015-08-30"
"PAMPERS DIAPER 3-18","CS Baby Care","NON FOOD","5",137.5,"2015-08-30"
"GO PURE CHIPS ROSEMARY 125G","CS Organic Food","FOOD","8",134,"2015-08-30"
"Chicken Tandoori","Pre Packed Sandwiches","FOOD","13",130,"2015-08-30"
